[src-dst],min-cutsets
"[4, 37]","[[4], [37], [2, 49], [5, 49], [31, 49], [32, 49], [5, 10, 44], [5, 35, 44]]"
"[4, 38]","[[4], [38], [6, 39, 48]]"
"[4, 39]","[[4], [39], [22, 35, 38], [22, 35, 44], [22, 35, 48]]"
"[4, 40]","[[4], [40], [34, 37], [34, 41], [1, 9, 37], [1, 16, 37], [1, 19, 37], [1, 24, 37], [1, 26, 37], [1, 30, 37], [1, 33, 37], [1, 37, 44], [1, 37, 45], [2, 18, 24], [2, 18, 44], [2, 18, 45], [2, 24, 49], [2, 25, 44], [2, 34, 49], [2, 44, 49], [2, 45, 49], [5, 10, 44], [5, 18, 24], [5, 18, 44], [5, 18, 45], [5, 24, 49], [5, 25, 44], [5, 34, 49], [5, 35, 44], [5, 44, 49], [5, 45, 49], [18, 24, 31], [18, 24, 32], [18, 24, 37], [18, 24, 41], [18, 31, 44], [18, 31, 45], [18, 32, 44], [18, 32, 45], [18, 37, 44], [18, 37, 45], [18, 41, 44], [18, 41, 45], [24, 31, 49], [24, 32, 49], [24, 37, 49], [24, 41, 49], [25, 31, 44], [25, 32, 44], [25, 37, 44], [25, 41, 44], [31, 34, 49], [31, 44, 49], [31, 45, 49], [32, 34, 49], [32, 44, 49], [32, 45, 49], [37, 44, 49], [37, 45, 49], [41, 44, 49], [41, 45, 49]]"
"[4, 41]","[[4], [41], [1, 37], [34, 37], [1, 2, 49], [1, 5, 49], [1, 31, 49], [1, 32, 49], [2, 18, 44], [2, 24, 49], [2, 34, 49], [2, 44, 49], [2, 45, 49], [2, 47, 49], [5, 10, 44], [5, 18, 44], [5, 24, 49], [5, 34, 49], [5, 35, 44], [5, 44, 49], [5, 45, 49], [5, 47, 49], [18, 24, 37], [18, 31, 44], [18, 32, 44], [18, 37, 44], [18, 37, 45], [18, 37, 47], [24, 31, 49], [24, 32, 49], [24, 37, 49], [25, 37, 44], [31, 34, 49], [31, 44, 49], [31, 45, 49], [31, 47, 49], [32, 34, 49], [32, 44, 49], [32, 45, 49], [32, 47, 49], [37, 44, 49], [37, 45, 49], [37, 47, 49]]"
"[4, 42]","[[4], [42], [10, 44], [14, 44], [35, 44], [0, 9, 28], [0, 12, 44], [0, 16, 28], [0, 19, 28], [0, 28, 44], [0, 29, 44], [9, 10, 28], [9, 14, 28], [9, 23, 46], [9, 28, 46], [10, 16, 28], [10, 19, 28], [12, 44, 48], [14, 16, 28], [14, 19, 28], [16, 23, 46], [16, 28, 46], [19, 28, 46], [23, 24, 46], [23, 33, 46], [23, 44, 46], [28, 44, 46], [29, 44, 46], [29, 44, 48]]"
"[4, 43]","[[4], [43], [5, 6, 21], [5, 6, 22], [5, 7, 21], [5, 7, 22], [5, 15, 21], [5, 15, 22], [5, 21, 27], [5, 22, 27], [5, 22, 35], [5, 22, 38], [5, 22, 39], [6, 21, 32], [7, 21, 32], [15, 21, 32], [21, 27, 32]]"
"[4, 44]","[[4], [44]]"
"[4, 45]","[[4], [45], [18, 24], [24, 49], [5, 10, 44], [5, 35, 44], [10, 25, 44], [14, 25, 44], [24, 25, 44], [25, 35, 44]]"
"[4, 46]","[[4], [46], [35, 44], [0, 9, 28], [0, 10, 44], [0, 12, 44], [0, 14, 44], [0, 16, 28], [0, 19, 28], [0, 28, 42], [0, 28, 44], [0, 29, 44], [10, 38, 44], [10, 39, 44], [10, 44, 48], [12, 44, 48], [14, 38, 44], [14, 39, 44], [14, 44, 48], [29, 44, 48]]"
"[4, 47]","[[4], [47], [1, 45], [18, 24], [18, 45], [24, 49], [45, 49], [5, 10, 44], [5, 35, 44], [9, 18, 28], [9, 28, 49], [10, 25, 44], [12, 25, 44], [14, 25, 44], [16, 18, 28], [16, 28, 49], [18, 19, 28], [19, 25, 28], [19, 28, 49], [24, 25, 44], [25, 28, 44], [25, 29, 44], [25, 35, 44], [25, 44, 45]]"
"[4, 48]","[[4], [48], [0, 14, 38], [10, 38, 44], [14, 38, 44]]"
"[4, 49]","[[4], [49], [5, 10, 44], [5, 35, 44], [10, 25, 44], [12, 25, 44], [13, 18, 24], [13, 18, 45], [14, 25, 44], [18, 24, 25], [18, 25, 45], [19, 25, 28], [25, 28, 44], [25, 29, 44], [25, 35, 44]]"
"[5, 6]","[[5], [6], [7, 22, 38], [15, 22, 38], [22, 27, 38]]"
"[5, 7]","[[5], [7], [6, 15], [6, 27], [6, 21, 32], [6, 21, 43], [15, 22, 38], [22, 27, 38]]"
"[5, 8]","[[5], [8], [2, 11, 13], [3, 25, 31], [3, 25, 32], [11, 25, 31], [11, 25, 32], [21, 25, 32], [25, 32, 43]]"
"[5, 9]","[[5], [9], [4, 10, 25], [4, 22, 25], [4, 25, 35], [4, 25, 39], [10, 25, 44], [12, 25, 44], [14, 25, 44], [16, 18, 23], [16, 18, 28], [16, 18, 44], [16, 23, 24], [16, 23, 25], [16, 23, 33], [16, 23, 45], [16, 23, 49], [16, 24, 28], [16, 24, 44], [16, 25, 28], [16, 25, 44], [16, 28, 45], [16, 28, 49], [16, 44, 45], [16, 44, 49], [18, 19, 28], [19, 25, 28], [25, 28, 44], [25, 29, 44], [25, 35, 44]]"
"[5, 10]","[[5], [10]]"
"[5, 11]","[[5], [11], [3, 25, 31], [3, 25, 32], [21, 25, 32], [25, 32, 43]]"
"[5, 12]","[[5], [12], [14, 29], [0, 14, 28], [4, 22, 25], [6, 14, 28], [10, 22, 28], [10, 22, 29], [10, 28, 38], [10, 28, 48], [10, 29, 38], [10, 29, 48], [14, 22, 28], [14, 28, 38], [14, 28, 48]]"
"[5, 13]","[[5], [13]]"
"[5, 14]","[[5], [14], [4, 22, 25], [10, 12, 48], [10, 22, 28], [10, 22, 29], [10, 28, 38], [10, 28, 48], [10, 29, 38], [10, 29, 48]]"
"[5, 15]","[[5], [15], [6, 27], [7, 27], [6, 21, 32], [6, 21, 43], [7, 21, 32], [7, 21, 43], [22, 27, 35], [22, 27, 38], [22, 27, 39]]"
"[5, 16]","[[5], [16], [18, 19, 28]]"
"[5, 17]","[[5], [17], [18, 24], [24, 25], [24, 30], [24, 45], [24, 49], [25, 44], [4, 10, 25], [4, 22, 25], [4, 25, 35], [4, 25, 39], [9, 25, 28], [9, 28, 45], [9, 28, 49], [16, 25, 28], [16, 28, 45], [16, 28, 49], [16, 44, 45], [16, 44, 49], [19, 25, 28]]"
"[5, 18]","[[5], [18], [25, 31, 44], [25, 32, 44], [25, 44, 49]]"
"[5, 19]","[[5], [19]]"
"[5, 20]","[[5], [20], [3, 43], [25, 32, 43]]"
"[5, 21]","[[5], [21]]"
"[5, 22]","[[5], [22]]"
"[5, 23]","[[5], [23], [4, 10, 25], [4, 22, 25], [4, 25, 35], [4, 25, 39], [9, 18, 28], [9, 24, 28], [9, 25, 28], [9, 28, 45], [9, 28, 49], [10, 25, 44], [12, 25, 44], [14, 25, 44], [16, 18, 28], [16, 24, 28], [16, 25, 28], [16, 28, 45], [16, 28, 49], [18, 19, 28], [19, 25, 28], [25, 28, 44], [25, 29, 44], [25, 35, 44]]"
"[5, 24]","[[5], [24], [4, 10, 25], [4, 22, 25], [4, 25, 35], [4, 25, 39], [4, 25, 44], [9, 25, 28], [9, 28, 45], [9, 28, 49], [10, 25, 44], [12, 25, 44], [14, 25, 44], [16, 25, 28], [16, 28, 45], [16, 28, 49], [19, 25, 28], [23, 25, 44], [25, 28, 44], [25, 29, 44], [25, 35, 44]]"
"[5, 25]","[[5], [25]]"
"[5, 26]","[[5], [26], [30, 34], [1, 30, 37], [2, 24, 49], [4, 25, 31], [4, 25, 32], [9, 34, 45], [16, 34, 45], [17, 34, 45], [24, 25, 31], [24, 25, 32], [24, 31, 49], [24, 32, 49], [24, 34, 45], [24, 34, 49], [24, 37, 49], [25, 30, 31], [25, 30, 32], [25, 31, 44], [25, 32, 44]]"
"[5, 27]","[[5], [27], [6, 21, 32], [6, 21, 43], [7, 21, 32], [7, 21, 43], [15, 21, 32], [15, 21, 43]]"
"[5, 28]","[[5], [28], [4, 10, 25], [4, 22, 25], [4, 25, 35], [4, 25, 39], [10, 25, 44], [14, 25, 44], [25, 29, 44], [25, 35, 44]]"
"[5, 29]","[[5], [29], [0, 12, 28], [0, 14, 28], [4, 22, 25], [6, 10, 28], [6, 14, 28], [10, 22, 28], [10, 28, 38], [10, 28, 48], [12, 28, 48], [14, 22, 28], [14, 28, 38], [14, 28, 48]]"
"[5, 30]","[[5], [30], [2, 24, 49], [4, 25, 31], [4, 25, 32], [17, 26, 45], [17, 34, 45], [24, 26, 45], [24, 26, 49], [24, 31, 49], [24, 32, 49], [24, 34, 45], [24, 34, 49], [24, 37, 49], [25, 31, 44], [25, 32, 44]]"
"[5, 31]","[[5], [31], [3, 25, 32], [21, 25, 32], [25, 32, 43]]"
"[5, 32]","[[5], [32]]"
"[5, 33]","[[5], [33], [9, 24], [4, 9, 25], [4, 10, 25], [4, 16, 25], [4, 22, 25], [4, 25, 35], [4, 25, 39], [4, 25, 44], [9, 23, 25], [9, 23, 45], [9, 23, 49], [9, 25, 28], [9, 25, 44], [9, 28, 45], [9, 28, 49], [10, 25, 44], [12, 25, 44], [14, 25, 44], [16, 23, 24], [16, 23, 25], [16, 23, 45], [16, 23, 49], [16, 24, 28], [16, 24, 44], [16, 25, 28], [16, 25, 44], [16, 28, 45], [16, 28, 49], [16, 44, 45], [16, 44, 49], [19, 25, 28], [25, 28, 44], [25, 29, 44], [25, 35, 44]]"
"[5, 34]","[[5], [34], [1, 25, 37], [1, 26, 37], [1, 30, 37], [1, 37, 45], [2, 9, 49], [2, 16, 49], [2, 24, 49], [2, 45, 49], [4, 25, 31], [4, 25, 32], [9, 37, 49], [16, 37, 49], [19, 25, 31], [19, 25, 32], [24, 37, 49], [25, 31, 44], [25, 32, 44], [37, 45, 49]]"
"[5, 35]","[[5], [35], [4, 10, 39]]"
"[5, 36]","[[5], [36], [38, 48], [0, 14, 38], [6, 39, 48], [10, 28, 38], [10, 29, 38], [14, 19, 38], [14, 25, 38], [14, 28, 38], [14, 29, 38], [14, 38, 44]]"
"[5, 37]","[[5], [37], [2, 49], [8, 31, 49], [13, 32, 49], [18, 25, 32], [25, 32, 44], [25, 32, 49]]"
"[5, 38]","[[5], [38], [6, 10, 39], [6, 14, 39], [6, 39, 48]]"
"[5, 39]","[[5], [39], [22, 35, 38]]"
"[5, 40]","[[5], [40], [34, 37], [34, 41], [1, 2, 49], [1, 18, 37], [1, 25, 37], [1, 26, 37], [1, 30, 37], [1, 37, 45], [1, 37, 49], [2, 9, 49], [2, 16, 49], [2, 24, 49], [2, 25, 49], [2, 33, 49], [2, 34, 49], [2, 45, 49], [2, 47, 49], [4, 25, 31], [4, 25, 32], [9, 37, 49], [13, 25, 37], [16, 37, 49], [18, 25, 31], [18, 25, 32], [19, 25, 31], [19, 25, 32], [24, 37, 49], [25, 31, 37], [25, 31, 41], [25, 31, 44], [25, 31, 49], [25, 32, 37], [25, 32, 41], [25, 32, 44], [25, 32, 49], [25, 37, 49], [33, 37, 49], [37, 45, 49], [37, 47, 49]]"
"[5, 41]","[[5], [41], [34, 37], [1, 2, 49], [1, 18, 37], [1, 25, 37], [1, 26, 37], [1, 30, 37], [1, 37, 45], [1, 37, 49], [2, 9, 49], [2, 16, 49], [2, 24, 49], [2, 25, 49], [2, 33, 49], [2, 34, 49], [2, 45, 49], [2, 47, 49], [9, 37, 49], [13, 25, 37], [16, 37, 49], [18, 25, 32], [19, 25, 32], [24, 37, 49], [25, 31, 37], [25, 32, 37], [25, 32, 44], [25, 32, 49], [25, 37, 49], [33, 37, 49], [37, 45, 49], [37, 47, 49]]"
"[5, 42]","[[5], [42], [4, 10, 25], [4, 22, 25], [4, 25, 28], [4, 25, 35], [4, 25, 39], [4, 25, 44], [10, 25, 44], [14, 25, 44], [23, 24, 46], [25, 35, 44], [25, 44, 46]]"
"[5, 43]","[[5], [43]]"
"[5, 44]","[[5], [44], [4, 10, 25], [4, 22, 25]]"
"[5, 45]","[[5], [45], [24, 49], [9, 28, 49], [16, 28, 49], [16, 44, 49], [25, 31, 44], [25, 32, 44], [25, 44, 49]]"
"[5, 46]","[[5], [46], [0, 9, 28], [0, 16, 28], [0, 25, 28], [0, 28, 42], [4, 10, 25], [4, 22, 25], [4, 25, 35], [4, 25, 39], [9, 10, 28], [9, 14, 28], [10, 16, 28], [10, 16, 44], [10, 25, 28], [10, 25, 44], [10, 28, 42], [14, 16, 28], [14, 16, 44], [14, 25, 28], [14, 25, 44], [14, 28, 42], [25, 28, 35], [25, 35, 44]]"
"[5, 47]","[[5], [47], [1, 45], [1, 24, 49], [2, 24, 49], [2, 45, 49], [24, 31, 49], [24, 32, 49], [24, 34, 49], [24, 37, 49], [25, 31, 44], [25, 32, 44], [31, 45, 49], [32, 45, 49], [34, 45, 49], [37, 45, 49]]"
"[5, 48]","[[5], [48], [0, 14, 38], [4, 22, 25], [10, 28, 38], [14, 28, 38]]"
"[5, 49]","[[5], [49], [25, 31, 44], [25, 32, 44]]"
"[6, 7]","[[6], [7]]"
"[6, 8]","[[6], [8], [2, 11, 13], [7, 22, 35], [7, 22, 38], [7, 22, 39], [11, 22, 35], [11, 22, 38], [11, 22, 39], [15, 22, 35], [15, 22, 38], [15, 22, 39], [22, 27, 35], [22, 27, 38], [22, 27, 39]]"
"[6, 9]","[[6], [9], [16, 23], [22, 38], [0, 16, 28], [16, 28, 38], [16, 28, 42], [16, 28, 46], [16, 28, 48], [16, 38, 44], [22, 35, 48], [22, 39, 48]]"
"[6, 10]","[[6], [10], [22, 38], [22, 35, 48], [22, 39, 48]]"
"[6, 11]","[[6], [11], [3, 25, 31], [3, 25, 32], [5, 10, 43], [5, 13, 43], [5, 25, 43], [5, 35, 43], [5, 38, 43], [5, 39, 43], [7, 22, 35], [7, 22, 38], [7, 22, 39], [15, 22, 35], [15, 22, 38], [15, 22, 39], [22, 27, 35], [22, 27, 38], [22, 27, 39], [25, 32, 43]]"
"[6, 12]","[[6], [12], [14, 29], [22, 38], [0, 14, 28], [10, 28, 38], [10, 28, 48], [10, 29, 38], [10, 29, 48], [14, 28, 38], [14, 28, 48], [22, 35, 48], [22, 39, 48]]"
"[6, 13]","[[6], [13], [7, 22, 38], [15, 22, 38], [18, 25, 31], [18, 25, 32], [19, 25, 31], [19, 25, 32], [22, 27, 38], [25, 31, 44], [25, 31, 49], [25, 32, 44], [25, 32, 49]]"
"[6, 14]","[[6], [14], [22, 38], [10, 12, 48], [10, 28, 38], [10, 28, 48], [10, 29, 48], [22, 35, 48], [22, 39, 48]]"
"[6, 15]","[[6], [15], [7, 27], [5, 7, 21], [5, 7, 22], [7, 21, 32], [7, 21, 43], [7, 22, 35], [7, 22, 38], [7, 22, 39]]"
"[6, 16]","[[6], [16], [22, 38], [18, 19, 28], [19, 25, 28], [22, 35, 48], [22, 39, 48], [25, 28, 44]]"
"[6, 17]","[[6], [17], [24], [22, 38], [22, 35, 48], [22, 39, 48]]"
"[6, 18]","[[6], [18], [4, 5, 10], [4, 10, 25], [5, 10, 44], [5, 22, 38], [7, 22, 38], [10, 25, 44], [12, 25, 44], [14, 25, 44], [15, 22, 38], [16, 19, 25], [16, 25, 44], [19, 25, 28], [21, 22, 38], [22, 25, 38], [22, 27, 38], [25, 28, 44], [25, 29, 44], [25, 35, 44], [25, 38, 44], [25, 39, 44]]"
"[6, 19]","[[6], [19], [22, 38], [16, 25, 44], [22, 35, 48], [22, 39, 48], [25, 28, 44], [25, 29, 44]]"
"[6, 20]","[[6], [20], [3, 43], [5, 43], [4, 7, 22], [4, 15, 22], [4, 22, 27], [5, 7, 21], [5, 7, 22], [5, 15, 21], [5, 15, 22], [5, 21, 27], [5, 22, 27], [7, 22, 35], [7, 22, 38], [7, 22, 39], [13, 32, 43], [15, 22, 35], [15, 22, 38], [15, 22, 39], [22, 27, 35], [22, 27, 38], [22, 27, 39], [22, 32, 43], [25, 32, 43], [31, 32, 43]]"
"[6, 21]","[[6], [21], [5, 7, 22], [5, 15, 22], [5, 22, 27], [7, 22, 38], [15, 22, 38], [22, 27, 38]]"
"[6, 22]","[[6], [22]]"
"[6, 23]","[[6], [23], [22, 38], [0, 9, 28], [0, 16, 28], [9, 28, 38], [9, 28, 42], [9, 28, 46], [16, 28, 38], [16, 28, 42], [16, 28, 46], [22, 35, 48], [22, 39, 48]]"
"[6, 24]","[[6], [24], [22, 38], [22, 35, 48], [22, 39, 48]]"
"[6, 25]","[[6], [25], [4, 5, 10], [5, 10, 44], [5, 22, 38], [7, 22, 38], [15, 22, 38], [21, 22, 38], [22, 27, 38]]"
"[6, 26]","[[6], [26], [22, 38], [30, 34], [1, 30, 37], [2, 18, 30], [2, 24, 49], [2, 30, 49], [5, 18, 24], [5, 18, 30], [5, 24, 49], [5, 30, 49], [5, 38, 44], [10, 22, 24], [10, 22, 30], [10, 22, 45], [17, 34, 45], [18, 22, 24], [18, 22, 30], [18, 30, 31], [18, 30, 32], [18, 30, 37], [22, 24, 35], [22, 24, 39], [22, 24, 49], [22, 30, 35], [22, 30, 39], [22, 30, 49], [22, 35, 45], [22, 35, 48], [22, 39, 45], [22, 39, 48], [24, 31, 49], [24, 32, 49], [24, 34, 45], [24, 34, 49], [24, 37, 49], [30, 31, 49], [30, 32, 49], [30, 37, 49]]"
"[6, 27]","[[6], [27], [5, 7, 21], [5, 7, 22], [5, 15, 21], [5, 15, 22], [7, 21, 32], [7, 21, 43], [7, 22, 35], [7, 22, 38], [7, 22, 39], [15, 21, 32], [15, 21, 43], [15, 22, 35], [15, 22, 38], [15, 22, 39]]"
"[6, 28]","[[6], [28], [22, 38], [22, 35, 48], [22, 39, 48]]"
"[6, 29]","[[6], [29], [22, 38], [0, 12, 28], [0, 14, 28], [10, 28, 38], [10, 28, 48], [12, 28, 48], [14, 28, 38], [14, 28, 48], [22, 35, 48], [22, 39, 48]]"
"[6, 30]","[[6], [30], [17, 45], [22, 38], [24, 45], [24, 49], [5, 18, 24], [5, 38, 44], [9, 23, 45], [9, 28, 45], [10, 22, 24], [13, 18, 24], [16, 23, 45], [16, 28, 45], [18, 22, 24], [18, 24, 25], [19, 24, 25], [22, 24, 35], [22, 24, 39], [22, 35, 45], [22, 35, 48], [22, 39, 45], [22, 39, 48], [23, 33, 45], [24, 25, 44], [25, 38, 44], [28, 33, 45]]"
"[6, 31]","[[6], [31], [5, 13, 43], [7, 22, 35], [7, 22, 38], [7, 22, 39], [15, 22, 35], [15, 22, 38], [15, 22, 39], [22, 27, 35], [22, 27, 38], [22, 27, 39]]"
"[6, 32]","[[6], [32], [5, 10, 43], [5, 13, 43], [5, 25, 43], [5, 31, 43], [5, 35, 43], [5, 38, 43], [5, 39, 43], [7, 22, 38], [15, 22, 38], [22, 27, 38]]"
"[6, 33]","[[6], [33], [9, 24], [22, 38], [16, 23, 24], [16, 24, 28], [22, 35, 48], [22, 39, 48]]"
"[6, 34]","[[6], [34], [1, 37], [22, 35], [22, 38], [22, 39], [1, 2, 49], [1, 5, 18], [1, 5, 49], [1, 18, 22], [1, 22, 49], [1, 31, 49], [1, 32, 49], [2, 24, 49], [2, 45, 49], [2, 47, 49], [4, 5, 10], [4, 5, 35], [4, 5, 39], [4, 10, 22], [5, 10, 44], [5, 18, 24], [5, 18, 45], [5, 18, 47], [5, 24, 49], [5, 35, 44], [5, 38, 44], [5, 39, 44], [5, 45, 49], [5, 47, 49], [10, 18, 22], [10, 19, 22], [10, 22, 44], [10, 22, 49], [18, 22, 24], [18, 22, 45], [18, 22, 47], [22, 24, 49], [22, 45, 49], [22, 47, 49], [24, 31, 49], [24, 32, 49], [24, 37, 49], [31, 45, 49], [31, 47, 49], [32, 45, 49], [32, 47, 49], [37, 45, 49], [37, 47, 49]]"
"[6, 35]","[[6], [35], [4, 10, 39], [4, 22, 38], [5, 22, 38], [7, 22, 38], [15, 22, 38], [21, 22, 38], [22, 27, 38]]"
"[6, 36]","[[6], [36], [22, 38], [38, 48], [0, 14, 38], [4, 10, 38], [4, 14, 38], [10, 28, 38], [10, 38, 44], [14, 28, 38], [14, 38, 44]]"
"[6, 37]","[[6], [37], [2, 49], [22, 49], [31, 49], [5, 21, 49], [5, 22, 38], [5, 32, 49], [5, 43, 49], [7, 22, 38], [10, 18, 22], [13, 32, 49], [15, 22, 38], [18, 22, 35], [18, 22, 38], [18, 22, 39], [21, 22, 38], [22, 25, 38], [22, 27, 38], [25, 32, 49]]"
"[6, 38]","[[6], [38]]"
"[6, 39]","[[6], [39], [4, 22, 38], [5, 22, 38], [7, 22, 38], [15, 22, 38], [21, 22, 38], [22, 27, 38], [22, 35, 38]]"
"[6, 40]","[[6], [40], [1, 37], [22, 35], [22, 38], [22, 39], [34, 37], [34, 41], [1, 2, 49], [1, 5, 18], [1, 5, 49], [1, 18, 22], [1, 22, 49], [1, 31, 49], [1, 32, 49], [2, 10, 49], [2, 24, 49], [2, 34, 49], [2, 35, 49], [2, 38, 49], [2, 39, 49], [2, 44, 49], [2, 45, 49], [2, 47, 49], [4, 5, 10], [4, 5, 35], [4, 5, 39], [4, 10, 22], [5, 10, 18], [5, 10, 19], [5, 10, 44], [5, 10, 49], [5, 18, 24], [5, 18, 34], [5, 18, 35], [5, 18, 38], [5, 18, 39], [5, 18, 44], [5, 18, 45], [5, 18, 47], [5, 19, 35], [5, 19, 38], [5, 19, 39], [5, 24, 49], [5, 25, 44], [5, 34, 49], [5, 35, 44], [5, 35, 49], [5, 38, 44], [5, 38, 49], [5, 39, 44], [5, 39, 49], [5, 44, 49], [5, 45, 49], [5, 47, 49], [10, 18, 22], [10, 19, 22], [10, 22, 44], [10, 22, 49], [10, 31, 49], [10, 32, 49], [10, 37, 49], [18, 22, 24], [18, 22, 34], [18, 22, 44], [18, 22, 45], [18, 22, 47], [22, 24, 49], [22, 25, 44], [22, 34, 49], [22, 44, 49], [22, 45, 49], [22, 47, 49], [24, 31, 49], [24, 32, 49], [24, 37, 49], [25, 31, 44], [25, 32, 44], [25, 37, 44], [31, 34, 49], [31, 35, 49], [31, 38, 49], [31, 39, 49], [31, 44, 49], [31, 45, 49], [31, 47, 49], [32, 34, 49], [32, 35, 49], [32, 38, 49], [32, 39, 49], [32, 44, 49], [32, 45, 49], [32, 47, 49], [35, 37, 49], [37, 38, 49], [37, 39, 49], [37, 44, 49], [37, 45, 49], [37, 47, 49]]"
"[6, 41]","[[6], [41], [1, 37], [22, 38], [34, 37], [1, 2, 49], [1, 18, 22], [1, 22, 49], [1, 31, 49], [2, 9, 49], [2, 10, 49], [2, 16, 49], [2, 19, 49], [2, 24, 49], [2, 33, 49], [2, 34, 49], [2, 35, 49], [2, 38, 49], [2, 39, 49], [2, 44, 49], [2, 45, 49], [2, 47, 49], [4, 10, 22], [9, 18, 22], [9, 22, 49], [9, 31, 49], [9, 37, 49], [10, 18, 22], [10, 19, 22], [10, 22, 35], [10, 22, 37], [10, 22, 39], [10, 22, 44], [10, 22, 49], [10, 31, 49], [10, 37, 49], [14, 22, 35], [14, 22, 39], [16, 18, 22], [16, 22, 49], [16, 31, 49], [16, 37, 49], [18, 19, 22], [18, 22, 24], [18, 22, 33], [18, 22, 34], [18, 22, 35], [18, 22, 39], [18, 22, 44], [18, 22, 45], [18, 22, 47], [19, 22, 35], [19, 22, 39], [19, 22, 49], [19, 25, 37], [19, 31, 49], [19, 37, 49], [22, 24, 49], [22, 33, 49], [22, 34, 49], [22, 35, 37], [22, 35, 44], [22, 35, 48], [22, 35, 49], [22, 37, 39], [22, 39, 44], [22, 39, 48], [22, 39, 49], [22, 44, 49], [22, 45, 49], [22, 47, 49], [24, 31, 49], [24, 37, 49], [25, 37, 44], [31, 33, 49], [31, 34, 49], [31, 35, 49], [31, 38, 49], [31, 39, 49], [31, 44, 49], [31, 45, 49], [31, 47, 49], [33, 37, 49], [35, 37, 49], [37, 38, 49], [37, 39, 49], [37, 44, 49], [37, 45, 49], [37, 47, 49]]"
"[6, 42]","[[6], [42], [22, 38], [0, 9, 28], [0, 16, 28], [9, 23, 46], [9, 28, 46], [16, 23, 46], [16, 28, 46], [19, 23, 46], [22, 35, 48], [22, 39, 48], [23, 24, 46], [23, 33, 46]]"
"[6, 43]","[[6], [43], [5, 7, 21], [5, 7, 22], [5, 15, 21], [5, 15, 22], [5, 21, 27], [5, 22, 27], [7, 21, 32], [7, 22, 35], [7, 22, 38], [7, 22, 39], [15, 21, 32], [15, 22, 35], [15, 22, 38], [15, 22, 39], [21, 27, 32], [22, 27, 35], [22, 27, 38], [22, 27, 39]]"
"[6, 44]","[[6], [44], [22, 38], [22, 35, 48], [22, 39, 48]]"
"[6, 45]","[[6], [45], [22, 38], [24, 49], [5, 18, 24], [5, 38, 44], [13, 18, 24], [18, 22, 24], [18, 24, 25], [19, 24, 25], [22, 24, 35], [22, 24, 39], [22, 35, 48], [22, 39, 48], [24, 25, 44], [25, 38, 44]]"
"[6, 46]","[[6], [46], [22, 38], [0, 9, 28], [0, 16, 28], [0, 19, 28], [0, 28, 42], [22, 35, 48], [22, 39, 48]]"
"[6, 47]","[[6], [47], [1, 45], [18, 45], [22, 38], [24, 49], [45, 49], [5, 18, 24], [5, 38, 44], [10, 22, 45], [13, 18, 24], [18, 22, 24], [18, 24, 25], [19, 24, 25], [19, 25, 45], [22, 24, 35], [22, 24, 39], [22, 35, 45], [22, 35, 48], [22, 39, 45], [22, 39, 48], [24, 25, 44], [25, 38, 44], [25, 44, 45]]"
"[6, 48]","[[6], [48], [22, 38], [0, 14, 38], [10, 28, 38], [10, 38, 44], [14, 28, 38], [14, 38, 44]]"
"[6, 49]","[[6], [49], [4, 5, 10], [5, 10, 44], [5, 22, 38], [7, 22, 38], [10, 18, 22], [15, 22, 38], [18, 22, 35], [18, 22, 38], [18, 22, 39], [21, 22, 38], [22, 25, 38], [22, 27, 38]]"
"[7, 8]","[[7], [8], [6, 15], [6, 27], [2, 11, 13], [5, 6, 43], [6, 21, 43], [15, 22, 35], [15, 22, 38], [15, 22, 39], [22, 27, 35], [22, 27, 38], [22, 27, 39]]"
"[7, 9]","[[7], [9], [5, 6], [6, 15], [6, 16], [6, 21], [6, 25], [6, 27], [16, 23], [16, 28], [5, 22, 38], [6, 18, 19], [12, 16, 44], [14, 16, 44], [15, 22, 38], [16, 22, 38], [16, 29, 44], [16, 38, 44], [18, 19, 28], [19, 25, 28], [21, 22, 38], [22, 25, 38], [22, 27, 38], [25, 28, 44], [25, 29, 44]]"
"[7, 10]","[[7], [10], [6, 15], [6, 21], [6, 27], [5, 6, 22], [5, 22, 38], [15, 22, 38], [21, 22, 38], [22, 27, 38]]"
"[7, 11]","[[7], [11], [6, 15], [6, 27], [3, 6, 31], [3, 6, 32], [3, 25, 31], [3, 25, 32], [5, 6, 43], [5, 10, 43], [5, 13, 43], [5, 25, 43], [5, 35, 43], [5, 38, 43], [5, 39, 43], [6, 21, 43], [6, 32, 43], [15, 22, 35], [15, 22, 38], [15, 22, 39], [22, 27, 35], [22, 27, 38], [22, 27, 39], [25, 32, 43]]"
"[7, 12]","[[7], [12], [6, 10], [6, 14], [6, 15], [6, 21], [6, 22], [6, 27], [14, 29], [22, 38], [0, 14, 28], [4, 6, 35], [4, 6, 39], [6, 35, 44], [10, 28, 38], [10, 28, 48], [10, 29, 38], [10, 29, 48], [14, 28, 38], [14, 28, 48], [22, 35, 48], [22, 39, 48]]"
"[7, 13]","[[7], [13], [6, 15], [6, 27], [5, 6, 31], [5, 6, 43], [6, 21, 31], [6, 21, 43], [6, 25, 31], [15, 22, 38], [18, 25, 31], [19, 25, 31], [22, 27, 38], [25, 31, 44], [25, 31, 49]]"
